834,1218,0,74
101,1217,0,239
264,1212,0,65
892,1208,0,82
248,1200,0,92
1021,1199,0,89
301,1198,0,70
984,1197,0,89
528,1198,0,226
117,1197,0,80
1786,1193,0,59
224,1192,0,48
1713,1191,0,112
1089,1190,0,186
1018,1189,0,95
593,1188,0,106
1455,1183,0,255
1124,1179,0,84
548,1179,0,86
752,1178,0,217
529,1178,0,218
1493,1176,0,197
920,1174,0,52
1481,1173,0,68
1704,1169,0,56
381,1170,0,107
1838,1167,0,172
143,1167,0,53
157,1166,0,188
670,1164,0,60
1326,1162,0,76
585,1162,0,193
1160,1151,0,94
1219,1151,0,187
226,1149,0,253
882,1145,0,255
1235,1146,0,255
831,1138,0,146
429,1137,0,100
1250,1133,0,100
329,1132,0,54
326,1132,0,126
1563,1131,0,194
384,1131,0,58
800,1130,0,52
4,1130,0,64
789,1128,0,92
62,1128,0,139
903,1126,0,52
1894,1137,1,255
523,1122,0,57
786,1121,0,81
1548,1121,0,127
578,1118,0,61
335,1118,0,59
1708,1117,0,69
202,1115,0,102
903,1115,0,255
144,1115,0,75
728,1111,0,183
1030,1109,0,222
798,1107,0,148
108,1105,0,96
1185,1098,0,202
1282,1094,0,56
789,1094,0,65
762,1095,0,175
430,1093,0,143
1058,1085,0,57
783,1083,0,53
1296,1082,0,193
449,1077,0,56
163,1078,0,255
1471,1077,0,179
281,1075,0,67
580,1072,0,87
1218,1070,0,255
298,1062,0,149
1328,1061,0,65
387,1060,0,89
875,1058,0,62
1139,1055,0,55
368,1059,0,255
1813,1056,0,255
872,1050,0,159
783,1049,0,59
674,1051,0,255
313,1048,0,92
1914,1047,0,144
371,1046,0,188
1724,1045,0,106
204,1044,0,177
1596,1036,0,129
75,1036,0,57
1379,1033,0,177
1355,1034,0,200
657,1034,0,241
1795,1034,0,253
1404,1029,0,76
706,1029,0,68
271,1029,0,94
248,1028,0,52
1586,1027,0,95
394,1026,0,52
1942,1023,0,70
355,1021,0,177
648,1019,0,119
611,1020,0,83
907,1019,0,195
1750,1018,0,133
706,1016,0,116
988,1014,0,66
281,1014,0,201
1545,1015,0,252
1401,1011,0,61
210,1008,0,66
48,1008,0,86
94,1003,0,121
1422,1002,0,255
1142,1002,0,62
1287,1000,0,83
1613,997,0,103
1391,997,0,66
526,1003,0,250
710,997,0,244
1210,994,0,176
1070,993,0,171
1440,991,0,94
66,990,0,59
953,987,0,58
1893,985,0,76
1365,983,0,74
859,982,0,50
1464,981,0,73
466,977,0,64
343,978,0,239
1546,975,0,96
856,975,0,121
9,974,0,62
192,975,0,255
1831,970,0,98
983,964,0,88
364,965,0,231
1938,963,0,55
1198,964,0,200
1033,963,0,176
541,961,0,71
1471,960,0,63
1797,954,0,87
287,944,0,74
891,942,0,104
1535,940,0,65
1140,942,0,255
1638,934,0,255
453,930,0,57
1742,928,0,60
806,928,0,134
740,928,0,76
455,927,0,55
279,926,0,77
1507,919,0,96
477,924,0,249
1257,915,0,106
1841,912,0,60
1137,911,0,53
1331,910,0,78
1315,911,0,245
1159,907,0,130
1054,907,0,86
1453,905,0,64
229,905,0,51
184,903,0,77
55,903,0,81
